State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
RI,61311,53281,52092,53405,49676,53889,56047,63794,59019,58304,63334,67447,65334,60210,58376,56998,55344,55427,54546,54400,52167,51201,50621,50925,54087,50730,56422,60804,61893,60866,57830,57997,56859,57039,56070,57906,58610,64938,62809,65366,65131,65690,65010,63894,62104,62115,64661,63767,60496,62361,62713,59606,56636,57047,61098,60684,56945,57875,59951,58953
SC,126208,129567,142484,151254,145094,147298,157498,159278,179569,185719,198589,207758,217321,234328,229943,229440,245155,253229,265931,263808,248132,246357,246668,252018,263410,265569,274879,271519,298884,289639,308567,318063,306881,311468,317872,318370,325962,340229,359539,370957,378736,382124,390050,393778,447812,426716,445720,443626,433734,444790,447629,441969,429518,447080,438442,460353,473785,481949,481705,474828
SD,41074,43017,45861,47646,46663,45202,47210,47932,51664,51576,53555,58358,61204,61434,60379,62018,65702,68191,69568,70279,63204,60032,61601,59941,61918,65547,60615,62356,64623,64771,65961,64087,72993,73241,78214,79805,79338,77445,79996,83197,84690,83083,90621,85133,86438,88269,88259,92108,87283,89562,92146,92774,96399,94761,95873,98769,98525,98248,99685,98484
TN,174077,189698,201900,215915,221891,230861,248978,257828,277502,296060,308383,325418,355659,388248,380946,390255,406098,418416,443273,450307,408896,408735,398310,396071,426527,434200,465660,458225,466234,477732,466321,440683,460344,485213,499428,523840,541591,546093,556279,574005,583021,579918,613320,629708,630262,645189,648771,651803,611820,595903,621856,618352,598465,602315,616835,625520,638442,644002,651913,667375
TX,797674,814156,835629,860535,888456,919609,950843,1002771,1096279,1159513,1212068,1258232,1360829,1486367,1509541,1562028,1614344,1728153,1826422,1880719,1802055,1826225,1883216,1880769,1960057,2027528,2073455,2032666,2146110,2150031,2155244,2103266,2149543,2135807,2196665,2165210,2338876,2402608,2524138,2509765,2563155,2674517,2768701,2669830,2698065,2722996,2855206,2885470,2801447,2690610,2672035,2692218,2702364,2958764,2946730,3003114,3097467,3124450,3236520,3334081
UT,64511,60626,65915,66515,66941,70642,78749,77711,83491,87960,91544,98351,103196,109665,112423,113847,116248,121394,130166,131650,126763,122808,121883,126099,128479,132132,141909,146203,151122,143100,148687,154513,157455,163603,166811,181276,189839,197637,202063,209020,220791,212268,219787,223916,232666,236793,260512,259900,240230,231558,226672,242467,235408,239904,242167,250499,255936,260316,276803,272510
VA,290155,271498,279501,294215,309745,332226,349062,376536,389886,421502,446103,469468,484381,499236,474824,467402,489360,501276,513382,502950,481837,483877,466129,476856,482494,502788,531531,568798,600423,577259,583597,569499,565627,574960,586939,596493,605212,623602,633812,646527,682827,684004,688160,715501,769960,781592,804438,806073,748863,727672,758280,733171,739806,738979,749241,740651,744999,753872,770378,780122
VT,19285,18903,19451,19720,20186,21156,22648,24252,25602,26604,29255,30302,32532,33907,33188,33366,35461,37970,38017,36867,33912,34053,31745,34097,36467,36959,37654,42609,44201,42008,42074,42481,44946,47312,47859,49731,51665,50799,50106,52481,51827,51851,51047,51874,53305,54018,54227,53319,50595,52091,50109,48736,47614,48426,47901,48393,48604,47667,44530,46294
WA,180038,184221,191597,193702,200152,206180,224455,248016,282703,290040,291220,298120,302952,329185,329110,351939,367996,378496,406593,437458,416128,405573,379973,366349,392840,414170,482626,497334,520178,561297,570959,579683,646082,592511,609445,633489,622542,638511,603397,614736,626425,599324,583866,585232,604092,612870,628978,667346,607175,597417,551772,567007,568816,581578,570545,609914,678473,653778,653248,674034
WI,179925,178398,186286,193358,198182,202452,215119,222717,238768,254799,271267,283044,300747,313343,311658,318552,332023,343009,360252,354661,328937,320729,303312,305153,304796,311118,317003,319153,341123,343688,341152,340589,346888,356002,379489,387380,395039,397553,416933,427108,419128,420917,426136,419988,436795,435873,439632,442434,432246,421735,435233,420456,418959,416071,445797,440631,437596,431285,456953,452210
WV,84624,79495,80104,86105,89808,97881,101521,101783,108551,93096,108454,116907,126479,138959,135849,139406,142708,151070,154215,152872,146605,143411,137495,147345,156917,155590,139565,145124,149467,150231,146864,144778,159657,165632,177018,177819,162736,176591,184117,179513,185760,182823,182001,170239,179107,180393,179262,177411,160262,166940,171133,165264,174121,168825,169520,173151,181971,171435,192215,183835
WY,41322,40098,43961,40499,39029,44301,44954,54471,54341,57799,57405,61918,61663,67768,69252,66067,71190,75273,85116,87482,88441,88739,79562,67063,68415,68801,63799,77408,83531,84494,81244,75947,79985,84504,83152,95893,95955,97960,101099,115332,108883,110784,109864,121106,115100,119090,122430,125829,123844,119933,121216,111927,117517,113231,117531,111313,112483,112395,115829,115786
US,10596612,10769305,11219665,11655060,11998948,12434010,13100740,13751510,14864713,15504735,16094212,16725986,17716191,18615342,18119371,18245049,19101169,19822842,20619378,20472501,19696846,19515225,19090937,19176442,19655350,20089174,20790496,21471276,22319319,22478541,22423888,22120398,22418616,22676130,23322784,23818771,24425354,24735893,25229069,25920574,26521400,26241290,26812641,26889268,27836540,28271919,28711295,28831005,27443620,26616078,26991760,26600061,26128027,26615438,26874457,27244527,27790997,28020188,28468455,28508605
