Area Name,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
New York,"18,105,000","18,271,605","18,364,865","18,351,767","18,194,767","18,072,768","18,032,254","17,974,654","17,851,507","17,720,421","17,633,646","17,566,754","17,567,731","17,589,737","17,686,907","17,745,676","17,791,678","17,833,421","17,868,844","17,941,309","17,983,084","18,020,784","18,122,510","18,246,653","18,374,954","18,459,470","18,524,104","18,588,460","18,656,546","18,755,906","18,882,725","19,001,780","19,082,838","19,137,800","19,175,939","19,171,567","19,132,610","19,104,631","19,132,335","19,212,436","19,307,066"
North Carolina,"5,031,000","5,099,150","5,200,760","5,296,085","5,382,441","5,461,112","5,535,097","5,593,463","5,668,494","5,740,286","5,801,563","5,898,980","5,956,653","6,019,108","6,077,059","6,164,004","6,253,957","6,321,576","6,403,693","6,480,591","6,565,462","6,664,016","6,784,280","6,897,214","7,042,818","7,187,398","7,344,674","7,500,670","7,656,825","7,809,121","7,949,361","8,081,614","8,210,122","8,326,201","8,422,501","8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566"
North Dakota,"621,000","618,851","626,659","630,937","632,411","634,212","638,469","645,293","649,168","650,648","652,152","654,380","659,504","668,972","676,687","680,499","676,979","669,513","661,141","655,330","646,351","637,685","635,753","638,223","641,216","644,804","647,832","650,382","649,716","647,532","644,259","642,023","639,062","638,168","638,817","644,705","646,089","649,422","652,822","657,569","664,968"
Ohio,"10,563,000","10,668,839","10,734,782","10,746,920","10,767,205","10,765,613","10,770,498","10,752,731","10,771,232","10,795,431","10,798,562","10,800,650","10,788,336","10,757,085","10,737,631","10,737,743","10,734,926","10,730,272","10,760,081","10,798,554","10,829,216","10,864,162","10,945,762","11,029,431","11,101,140","11,152,454","11,202,751","11,242,827","11,277,357","11,311,536","11,335,454","11,363,543","11,387,404","11,407,889","11,434,788","11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896"
Oklahoma,"2,535,000","2,566,485","2,617,944","2,657,448","2,694,182","2,732,454","2,771,858","2,823,396","2,865,935","2,913,056","2,970,080","3,040,758","3,096,159","3,206,129","3,290,404","3,285,535","3,271,333","3,252,735","3,210,124","3,167,064","3,150,304","3,148,825","3,175,440","3,220,517","3,252,285","3,280,940","3,308,208","3,340,129","3,372,917","3,405,194","3,437,147","3,454,365","3,467,100","3,489,080","3,504,892","3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572"
Oregon,"2,062,000","2,100,388","2,149,890","2,195,219","2,238,878","2,280,956","2,324,622","2,372,155","2,439,355","2,509,609","2,578,312","2,641,218","2,667,985","2,664,919","2,653,071","2,666,589","2,672,648","2,683,526","2,700,996","2,741,297","2,790,579","2,860,375","2,928,507","2,991,755","3,060,367","3,121,264","3,184,369","3,247,111","3,304,310","3,352,449","3,393,941","3,429,708","3,467,937","3,513,424","3,547,376","3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600"
Pennsylvania,"11,741,000","11,811,561","11,884,354","11,904,541","11,885,202","11,863,936","11,897,778","11,887,478","11,881,857","11,864,774","11,873,563","11,868,305","11,858,569","11,845,146","11,837,726","11,815,175","11,770,865","11,782,754","11,810,869","11,845,755","11,865,992","11,903,299","11,982,164","12,049,450","12,119,724","12,166,050","12,198,403","12,220,464","12,227,814","12,245,672","12,263,805","12,284,173","12,298,970","12,331,031","12,374,658","12,410,722","12,449,990","12,510,809","12,563,937","12,612,285","12,666,858"
Rhode Island,"932,000","950,561","963,974","976,365","978,010","953,503","946,339","950,321","955,128","957,237","956,643","948,773","953,012","954,170","956,382","961,895","968,956","977,340","989,605","996,407","1,000,666","1,005,995","1,010,649","1,012,581","1,015,112","1,015,960","1,017,002","1,020,893","1,025,353","1,031,155","1,040,402","1,050,268","1,057,142","1,065,995","1,071,342","1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646"
South Carolina,"2,570,000","2,598,210","2,661,836","2,718,404","2,775,442","2,843,199","2,900,158","2,941,407","2,988,979","3,041,068","3,086,885","3,134,502","3,179,255","3,207,611","3,234,068","3,271,864","3,303,211","3,342,759","3,380,507","3,412,097","3,456,777","3,501,155","3,570,404","3,620,464","3,663,314","3,705,397","3,748,582","3,796,200","3,859,696","3,919,235","3,974,682","4,024,223","4,064,995","4,107,795","4,150,297","4,210,921","4,270,150","4,357,847","4,444,110","4,528,996","4,589,872"
South Dakota,"668,000","666,641","671,382","677,389","678,939","679,877","681,420","686,843","688,992","689,293","689,018","690,851","689,584","690,597","693,009","697,250","698,404","696,036","696,034","698,160","696,698","697,101","703,669","712,801","722,159","730,790","737,925","742,213","744,223","746,058","750,412","755,844","757,972","760,020","763,729","770,396","775,493","783,033","791,623","799,124","807,067"
Tennessee,"3,897,000","3,936,975","4,010,238","4,088,445","4,138,417","4,201,621","4,260,829","4,329,160","4,401,939","4,461,639","4,533,297","4,600,252","4,627,662","4,646,043","4,659,757","4,686,743","4,715,292","4,738,708","4,782,939","4,822,438","4,854,432","4,894,492","4,966,587","5,049,742","5,137,584","5,231,438","5,326,936","5,416,643","5,499,233","5,570,045","5,638,706","5,703,719","5,750,789","5,795,918","5,847,812","5,910,809","5,991,057","6,088,766","6,175,727","6,247,411","6,306,019"
Texas,"11,045,000","11,236,772","11,509,640","11,758,760","12,018,970","12,267,865","12,568,182","12,903,268","13,191,790","13,497,726","13,887,312","14,338,208","14,746,318","15,331,408","15,751,674","16,007,088","16,272,722","16,561,103","16,621,767","16,667,040","16,806,729","17,056,755","17,398,005","17,759,738","18,161,612","18,564,062","18,958,751","19,340,342","19,740,317","20,157,531","20,558,220","20,944,499","21,319,622","21,690,325","22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761"
Utah,"1,047,000","1,065,672","1,100,733","1,134,601","1,168,784","1,198,793","1,233,935","1,272,365","1,316,421","1,364,235","1,416,094","1,472,595","1,515,472","1,558,314","1,594,943","1,622,342","1,642,910","1,662,833","1,678,120","1,689,372","1,705,865","1,731,223","1,779,780","1,836,799","1,898,404","1,960,446","2,014,177","2,067,976","2,119,784","2,165,960","2,203,482","2,244,502","2,283,715","2,324,815","2,360,137","2,401,580","2,457,719","2,525,507","2,597,746","2,663,029","2,723,421"
Vermont,"437,000","446,323","454,357","463,214","468,533","473,138","479,894","485,144","492,174","498,284","505,711","512,524","515,594","519,108","523,302","526,658","530,035","534,066","540,267","549,763","557,708","564,798","568,606","572,751","577,748","583,836","589,002","593,701","597,239","600,416","604,683","609,618","612,223","615,442","617,858","619,920","621,215","622,892","623,481","624,151","624,817"
Virginia,"4,614,000","4,659,930","4,752,846","4,828,131","4,906,648","4,978,155","5,056,385","5,132,693","5,205,706","5,284,122","5,324,533","5,368,334","5,444,094","5,492,785","5,564,662","5,643,868","5,715,149","5,811,692","5,932,273","6,036,908","6,120,246","6,216,884","6,301,217","6,414,307","6,509,630","6,593,139","6,670,693","6,750,884","6,829,183","6,900,918","7,000,174","7,105,817","7,198,362","7,286,873","7,366,977","7,475,575","7,577,105","7,673,725","7,751,000","7,833,496","7,925,937"
