Market Day,HourEnding,Region,MTLF (MWh),Actual Load (MWh)
01/04/2019,7,MISO,76444.0,75259.2
01/04/2019,7,North,16425.0,16247.7
01/04/2019,7,South,20264.0,19322.0
01/04/2019,8,Central,42398.0,42188.5
01/04/2019,8,MISO,82483.0,80566.2
01/04/2019,8,North,17986.0,17713.0
01/04/2019,8,South,22099.0,20664.7
01/04/2019,9,Central,42796.0,43130.6
01/04/2019,9,MISO,84313.0,83275.1
01/04/2019,9,North,18955.0,18694.9
01/04/2019,9,South,22562.0,21449.6
01/04/2019,10,Central,42501.0,43186.1
01/04/2019,10,MISO,83683.0,83167.1
01/04/2019,10,North,18741.0,18441.5
01/04/2019,10,South,22441.0,21539.5
01/04/2019,11,Central,42168.0,42988.2
01/04/2019,11,MISO,82810.0,82325.3
01/04/2019,11,North,18531.0,17903.9
01/04/2019,11,South,22111.0,21433.2
01/04/2019,12,Central,41679.0,42287.6
01/04/2019,12,MISO,81729.0,81006.5
01/04/2019,12,North,18369.0,17576.1
01/04/2019,12,South,21681.0,21142.9
01/04/2019,13,Central,41106.0,41477.2
01/04/2019,13,MISO,80402.0,79776.2
01/04/2019,13,North,18155.0,17520.0
01/04/2019,13,South,21141.0,20779.1
01/04/2019,14,Central,40507.0,40911.4
01/04/2019,14,MISO,79118.0,78390.0
01/04/2019,14,North,17910.0,17211.5
01/04/2019,14,South,20701.0,20267.1
01/04/2019,15,Central,39887.0,40360.9
01/04/2019,15,MISO,78115.0,77314.7
01/04/2019,15,North,17750.0,17026.6
01/04/2019,15,South,20478.0,19927.2
01/04/2019,16,Central,39277.0,39891.9
01/04/2019,16,MISO,77020.0,76304.6
01/04/2019,16,North,17538.0,16851.4
01/04/2019,16,South,20205.0,19561.3
01/04/2019,17,Central,39161.0,39601.0
01/04/2019,17,MISO,76715.0,75821.0
01/04/2019,17,North,17447.0,16903.4
01/04/2019,17,South,20107.0,19316.5
01/04/2019,18,Central,40651.0,40633.1
01/04/2019,18,MISO,78830.0,77434.4
01/04/2019,18,North,17842.0,17338.4
01/04/2019,18,South,20337.0,19462.9
01/04/2019,19,Central,42161.0,42052.9
01/04/2019,19,MISO,82217.0,80685.3
01/04/2019,19,North,18628.0,18165.9
01/04/2019,19,South,21428.0,20466.6
01/04/2019,20,Central,41663.0,41777.9
01/04/2019,20,MISO,82199.0,81066.8
01/04/2019,20,North,18464.0,18050.4
01/04/2019,20,South,22072.0,21238.5
01/04/2019,21,Central,41033.0,41027.0
01/04/2019,21,MISO,81085.0,80133.5
01/04/2019,21,North,18093.0,17778.4
01/04/2019,21,South,21959.0,21328.2
01/04/2019,22,Central,40184.0,40243.1
01/04/2019,22,MISO,79678.0,79087.7
01/04/2019,22,North,17717.0,17479.9
01/04/2019,22,South,21777.0,21364.7
01/04/2019,23,Central,38765.0,38998.8
01/04/2019,23,MISO,77311.0,77028.6
01/04/2019,23,North,17195.0,17019.0
01/04/2019,23,South,21351.0,21010.8
01/04/2019,24,Central,36991.0,37256.0
01/04/2019,24,MISO,73986.0,73939.8
01/04/2019,24,North,16426.0,16301.0
01/04/2019,24,South,20569.0,20382.8
01/05/2019,1,Central,35844.0,35564.8
01/05/2019,1,MISO,71265.0,71063.1
01/05/2019,1,North,15521.0,15676.4
01/05/2019,1,South,19900.0,19821.9
01/05/2019,2,Central,34866.0,34615.3
01/05/2019,2,MISO,69261.0,69053.1
01/05/2019,2,North,14971.0,15149.3
01/05/2019,2,South,19424.0,19288.5
01/05/2019,3,Central,34332.0,34066.3
01/05/2019,3,MISO,68142.0,67770.2
01/05/2019,3,North,14615.0,14655.4
01/05/2019,3,South,19195.0,19048.5
01/05/2019,4,Central,34098.0,33830.6
01/05/2019,4,MISO,67609.0,67372.9
01/05/2019,4,North,14454.0,14483.5
01/05/2019,4,South,19057.0,19058.8
01/05/2019,5,Central,34234.0,33968.9
01/05/2019,5,MISO,67751.0,67618.2
01/05/2019,5,North,14408.0,14448.9
01/05/2019,5,South,19109.0,19200.5
01/05/2019,6,Central,34905.0,34630.6
01/05/2019,6,MISO,68859.0,68778.6
01/05/2019,6,North,14520.0,14594.3
01/05/2019,6,South,19434.0,19553.7
01/05/2019,7,Central,36203.0,35789.0
01/05/2019,7,MISO,71180.0,71002.9
01/05/2019,7,North,14883.0,15047.4
01/05/2019,7,South,20094.0,20166.4
01/05/2019,8,Central,37642.0,37290.7
01/05/2019,8,MISO,73897.0,73656.0
01/05/2019,8,North,15548.0,15547.9
01/05/2019,8,South,20707.0,20817.4
01/05/2019,9,Central,38266.0,38097.8
01/05/2019,9,MISO,75592.0,75655.0
01/05/2019,9,North,16170.0,16192.9
01/05/2019,9,South,21156.0,21364.3
01/05/2019,10,Central,38627.0,38246.1
01/05/2019,10,MISO,76303.0,76202.9
01/05/2019,10,North,16444.0,16433.4
01/05/2019,10,South,21232.0,21523.4
01/05/2019,11,Central,38676.0,37880.1
01/05/2019,11,MISO,76068.0,74942.9
01/05/2019,11,North,16603.0,16326.5
01/05/2019,11,South,20789.0,20736.3
01/05/2019,12,Central,38282.0,37369.5
01/05/2019,12,MISO,74892.0,73027.7
01/05/2019,12,North,16568.0,16089.6
01/05/2019,12,South,20042.0,19568.6
01/05/2019,13,Central,37579.0,36456.6
01/05/2019,13,MISO,73154.0,70912.2
01/05/2019,13,North,16406.0,15808.6
01/05/2019,13,South,19169.0,18647.0
01/05/2019,14,Central,36724.0,35650.6
01/05/2019,14,MISO,71411.0,68993.0
01/05/2019,14,North,16194.0,15569.2
01/05/2019,14,South,18493.0,17773.2
01/05/2019,15,Central,35906.0,34948.2
01/05/2019,15,MISO,69934.0,67357.7
01/05/2019,15,North,15953.0,15284.3
01/05/2019,15,South,18075.0,17125.2
01/05/2019,16,Central,35335.0,34394.6
01/05/2019,16,MISO,68854.0,66344.2
01/05/2019,16,North,15801.0,15175.9
01/05/2019,16,South,17718.0,16773.7
01/05/2019,17,Central,35471.0,34608.0
01/05/2019,17,MISO,68921.0,66607.2
01/05/2019,17,North,15870.0,15385.1
01/05/2019,17,South,17580.0,16614.2
01/05/2019,18,Central,37342.0,36113.9
01/05/2019,18,MISO,71498.0,68917.2
01/05/2019,18,North,16440.0,16018.6
01/05/2019,18,South,17716.0,16784.7
01/05/2019,19,Central,39234.0,37941.1
01/05/2019,19,MISO,75350.0,72867.4
01/05/2019,19,North,17474.0,17062.9
01/05/2019,19,South,18642.0,17863.4
01/05/2019,20,Central,38913.0,37841.3
01/05/2019,20,MISO,75661.0,73553.9
01/05/2019,20,North,17404.0,17065.4
01/05/2019,20,South,19344.0,18647.1
01/05/2019,21,Central,38392.0,37376.6
01/05/2019,21,MISO,74870.0,73051.6
01/05/2019,21,North,17114.0,16810.7
01/05/2019,21,South,19364.0,18864.3
01/05/2019,22,Central,37620.0,36693.1
01/05/2019,22,MISO,73805.0,72226.0
01/05/2019,22,North,16778.0,16643.6
01/05/2019,22,South,19407.0,18889.3
01/05/2019,23,Central,36384.0,35577.9
01/05/2019,23,MISO,72022.0,70721.8
01/05/2019,23,North,16358.0,16331.6
01/05/2019,23,South,19280.0,18812.3
01/05/2019,24,Central,34861.0,34102.2
01/05/2019,24,MISO,69352.0,68175.1
01/05/2019,24,North,15712.0,15630.9
01/05/2019,24,South,18779.0,18442.0
01/06/2019,1,Central,33019.0,33029.9
01/06/2019,1,MISO,66226.0,66363.7
01/06/2019,1,North,15004.0,15270.1
01/06/2019,1,South,18203.0,18063.8
01/06/2019,2,Central,32157.0,32102.2
01/06/2019,2,MISO,64532.0,64731.7
01/06/2019,2,North,14602.0,14800.5
01/06/2019,2,South,17773.0,17829.0
01/06/2019,3,Central,31667.0,31661.9
01/06/2019,3,MISO,63604.0,63809.8
01/06/2019,3,North,14344.0,14524.3
01/06/2019,3,South,17593.0,17623.6
