State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PA,39217,40754,43125,45793,49816,53530,57903,60562,66168,71745,75620,78609,83731,90038,89416,87736,92135,95554,97564,100581,99744,100864,94582,96670,101444,100152,102527,107140,112891,113900,114751,116337,116288,119981,123045,126251,127623,128076,130206,128883,133845,135272,139820,140369,143501,148273,146150,151573,150401,143747,148964,148757,144710,146254,146688,146344,145328,142991,148977,145580
RI,1911,2067,2211,2320,2479,2691,2892,3078,3413,3686,3927,4234,4524,4856,4584,4451,4828,4830,4953,5071,5131,5037,4900,5157,5374,5430,5657,5942,6220,6359,6419,6403,6393,6548,6572,6636,6604,6745,6888,7150,7301,7393,7561,7797,7888,8049,7799,8013,7819,7618,7799,7732,7708,7781,7643,7665,7524,7385,7583,7350
SC,11463,12746,13367,14266,15232,14353,15170,16222,18148,19924,21694,23391,27232,29890,29598,29724,32283,34453,35644,35684,37264,39487,40272,41771,45202,46269,49433,51966,52809,53857,55652,57069,58401,61533,61858,65074,67086,68534,72454,73304,77012,74832,77819,77054,79908,81254,80877,81948,80651,76417,82479,80489,77781,78602,81620,81328,79578,78097,81641,80206
SD,1514,1641,1772,1888,1982,2074,2201,2268,2431,2591,2803,2943,3170,3295,3426,4057,4305,4436,4752,5067,5084,4960,5131,5425,5548,5650,5674,5711,6235,6338,6334,6685,6494,6905,7174,7414,7736,7773,7824,7922,8283,8627,8937,9080,9214,9811,10056,10603,10974,11010,11356,11680,11734,12210,12355,12102,12130,12314,12857,12869
TN,38994,38826,40590,42649,43819,44769,47366,47613,48083,50441,52070,51733,55525,62129,61936,68379,72811,75222,72378,73130,73391,71125,65824,69366,72110,69027,67808,69730,72872,75113,77145,78390,78584,79832,82533,82030,87659,86917,91750,93180,95728,96131,98233,97457,99661,103905,103932,106717,104170,94910,103522,100733,96381,96944,100219,99632,100758,97240,102911,99829
TX,35726,37438,42850,47972,52009,57237,63531,69788,77667,88896,95735,103617,115570,122522,125930,129488,136545,152992,163821,167736,179430,184779,186124,191183,208256,213125,213270,216066,224346,229660,237415,240352,239431,250084,258180,263279,278450,286704,304705,301844,318263,318044,320846,322686,320615,334258,342724,343829,347815,345351,358458,376065,365104,378817,389670,392337,398662,401880,424419,429343
UT,3474,3737,3929,4207,4279,3776,4103,4153,4430,4933,5225,5550,6092,6906,7200,7940,7947,8808,9748,10415,10705,11886,12391,13194,12718,13038,12989,13397,14507,14965,15402,15907,16567,16867,17847,18460,19858,20376,20700,21879,23185,23217,23267,23860,24512,25000,26366,27785,28192,27587,28044,28859,29723,30474,30043,30192,30180,30589,31242,31143
VA,11561,12603,13827,15143,16625,18583,20601,22372,25494,28446,29816,31462,33938,37603,37571,39322,42688,44513,45903,46764,48369,50748,51172,53543,55590,57681,63265,66847,70115,73461,72696,75111,76448,81372,82210,85162,87596,87420,90609,93032,96715,96453,100619,101510,105424,108850,106721,111570,110106,108462,113806,110228,107795,110512,112098,112009,112281,111530,118166,118435
VT,875,931,1029,1105,1199,1333,1501,1872,2059,2346,2612,2893,3197,3284,3184,2995,3491,3242,3452,3751,3951,3731,3780,3911,4226,4015,3727,4097,4416,4573,4716,4704,4941,5016,5067,5104,5239,5312,5363,5527,5639,5585,5629,5352,5664,5883,5795,5864,5741,5497,5595,5550,5511,5588,5570,5521,5516,5424,5531,5428
WA,25951,26662,28077,30244,32590,34099,36476,39445,42175,47647,47609,48117,56560,56354,59192,57003,60999,58789,65340,68551,69658,81048,75549,76349,78081,76342,75372,77082,84832,86674,91046,92714,89319,90473,87133,88353,88424,90932,94873,99030,96511,78495,75404,78134,79982,83425,85033,85742,87333,90210,90380,93725,92336,92883,92141,90116,88885,91948,90006,91053
WI,12586,13063,14022,14975,16004,17276,18695,19874,21635,23323,24575,25846,27894,29807,29984,30947,32511,34120,35816,36792,36906,38027,37604,39018,44718,45590,46685,44976,47866,48376,49198,51032,50925,53156,55412,57967,58744,60094,62061,63547,65146,65218,66999,67241,67976,70336,69821,71301,70122,66286,68752,68612,68820,69124,69495,68699,69736,69079,70960,69158
WV,8763,9119,9814,10376,11087,11970,12632,12868,14190,15308,15122,15373,16123,17247,17749,16939,18136,19075,19513,20725,20831,21869,20756,20712,21102,20847,20603,21075,22388,22847,23132,23625,23831,24442,24776,25977,26127,26247,26511,27144,27693,27669,28463,28297,28919,30152,32312,34184,34221,30271,32032,31239,30817,31400,32696,32303,32076,31709,33647,33247
WY,719,782,1190,1407,1542,2321,2632,3036,3262,3582,3156,3312,3567,3927,4201,4584,4908,5418,6150,6716,7169,7468,8073,8200,9738,10348,9973,10510,10964,11234,11769,11757,11700,11885,11696,11199,11475,11786,11641,11782,12368,12950,12874,13254,13540,14138,14947,15536,16690,16562,17113,17418,16971,17054,17134,16925,16555,16778,16865,16763
US,688075,721950,777600,832613,896059,953789,1035145,1099217,1202871,1313833,1392300,1469540,1595161,1712909,1705924,1747091,1855246,1948361,2017922,2071099,2094447,2147102,2086440,2150955,2285796,2323974,2368753,2457272,2578063,2646809,2712555,2762003,2763365,2861462,2934563,3013287,3101127,3145610,3264231,3312087,3421414,3394458,3465466,3493807,3547479,3660969,3669919,3764561,3733965,3596795,3754841,3749846,3694650,3724868,3764700,3758992,3762462,3723356,3859185,3811150
