Year,State,PHEV sales,BEV sales
2030,MN,10882.0,18324.131536677083
2031,MN,11898.0,19783.013079289965
2032,MN,12914.0,21997.24863122406
2033,MN,13930.0,24754.24468448716
2034,MN,14946.0,26560.08542772899
2035,MN,15962.0,29249.17335423782
2036,MN,16978.0,32140.46428687492
2037,MN,17994.0,34340.86065357347
2038,MN,19010.0,37443.035381575835
2039,MN,20026.0,40493.97431265948
2040,MN,21042.0,43116.33222408311
2041,MN,22058.0,46578.73184721443
2022,MS,303.0,725.9999999999972
2023,MS,303.0,977.9999999999943
2024,MS,303.0,1229.9999999999914
2025,MS,303.0,1481.9999999999886
2026,MS,303.0,1733.999999999986
2027,MS,303.0,1985.9999999999832
2028,MS,303.0,2237.9999999999804
2029,MS,303.0,2489.9999999999777
2030,MS,303.0,2741.999999999975
2031,MS,303.0,2993.9999999999723
2032,MS,303.0,3245.9999999999695
2033,MS,303.0,3497.999999999967
2034,MS,303.0,3749.999999999964
2035,MS,303.0,4001.9999999999613
2036,MS,303.0,4253.999999999958
2037,MS,303.0,4505.999999999955
2038,MS,303.0,4757.999999999953
2039,MS,303.0,5009.99999999995
2040,MS,303.0,5261.999999999947
2041,MS,303.0,5513.9999999999445
2022,MO,2891.0000000000005,5155.0
2023,MO,4081.000000000001,6843.0
2024,MO,5271.000000000002,8531.0
2025,MO,6461.000000000002,10219.0
2026,MO,7651.000000000002,11907.0
2027,MO,8841.000000000002,13595.0
2028,MO,10031.000000000002,15283.0
2029,MO,11221.000000000002,16971.0
2030,MO,12411.000000000002,18659.0
2031,MO,13601.000000000002,20347.0
2032,MO,14791.000000000002,22035.0
2033,MO,15981.000000000002,23723.0
2034,MO,17171.000000000004,25411.0
2035,MO,18361.000000000004,27099.0
2036,MO,19551.000000000004,28787.0
2037,MO,20741.000000000004,30475.0
2038,MO,21931.000000000004,32163.0
2039,MO,23121.000000000004,33851.0
2040,MO,24311.000000000004,35539.0
2041,MO,25501.000000000004,37227.0
2022,ND,169.99999999999318,108.84786727784319
2023,ND,238.99999999998636,134.2331505735395
2024,ND,307.99999999997954,173.77039706049732
2025,ND,376.9999999999727,158.799970819068
2026,ND,445.9999999999659,205.9739264763076
2027,ND,514.9999999999591,210.4990513384291
2028,ND,583.9999999999523,226.1133919520511
2029,ND,652.9999999999454,258.3136011355092
2030,ND,721.9999999999386,260.2893329280263
2031,ND,790.9999999999318,290.3016566676089
2032,ND,859.999999999925,305.2129753228254
2033,ND,928.9999999999181,319.6170513415263
2034,ND,997.9999999999113,345.7947000466018
2035,ND,1066.9999999999045,356.67546178841513
2036,ND,1135.9999999998977,379.2621788048879
2037,ND,1204.9999999998909,397.51164112048406
2038,ND,1273.999999999884,412.93035916601895
2039,ND,1342.9999999998772,435.30423401969836
2040,ND,1411.9999999998704,450.5018043956203
2041,ND,1480.9999999998636,470.1387749807455
2022,SD,285.0000000000034,167.8986797052892
2023,SD,403.0000000000068,277.52848616859103
2024,SD,521.0000000000102,272.1004900173009
2025,SD,639.0000000000136,334.7048046598023
2026,SD,757.000000000017,370.48104522214044
2027,SD,875.0000000000205,403.27322112545966
2028,SD,993.0000000000239,456.3212974153823
2029,SD,1111.0000000000273,482.66254936790045
2030,SD,1229.0000000000307,534.4464973188333
2031,SD,1347.000000000034,566.4272379794004
2032,SD,1465.0000000000375,611.0350571749649
2033,SD,1583.000000000041,649.7345025807449
2034,SD,1701.0000000000443,689.1868328826556
2035,SD,1819.0000000000477,731.1166663032454
2036,SD,1937.0000000000512,769.1108664308814
2037,SD,2055.0000000000546,811.1581809361127
2038,SD,2173.000000000058,849.8599127689694
2039,SD,2291.000000000062,890.8416569441684
2040,SD,2409.0000000000655,930.6187702099569
2041,SD,2527.000000000069,970.7256417659189
2022,TX,6934.0,44277.0
2023,TX,6934.0,60248.0
2024,TX,6934.0,76219.0
2025,TX,6934.0,92190.0
2026,TX,6934.0,108161.0
2027,TX,6934.0,124132.0
