Vehicle,Type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Tesla Model S,EV,,,,,,,,,,,,,0.0,2400.0,19400.0,16750.0,26200.0,30200.0,26500.0,25745.0,15090.0
Toyota RAV4 EV,EV,,,,,,,,,,,,,0.0,192.0,1005.0,1184.0,18.0,0.0,0.0,0.0,0.0
Ford C-Max Energi,PHEV,,,,,,,,,,,,,0.0,2374.0,7154.0,8433.0,7591.0,7957.0,8140.0,582.0,0.0
Honda Accord,PHEV,,,,,,,,,,,,,0.0,0.0,526.0,449.0,64.0,0.0,0.0,0.0,0.0
Ford Fusion Energi,PHEV,,,,,,,,,,,,,0.0,0.0,6089.0,11550.0,9750.0,15938.0,9632.0,8074.0,7476.0
Chevy Spark,EV,,,,,,,,,,,,,0.0,0.0,560.0,1145.0,2629.0,3035.0,23.0,7.0,0.0
Fiat 500E,EV,,,,,,,,,,,,,0.0,0.0,260.0,1503.0,3477.0,3737.0,3336.0,2250.0,632.0
Porsche Panamera S E-Hybrid,PHEV,,,,,,,,,,,,,0.0,0.0,51.0,879.0,407.0,393.0,18.0,2036.0,1958.0
Cadillac ELR,PHEV,,,,,,,,,,,,,0.0,0.0,6.0,1310.0,1024.0,534.0,17.0,1.0,0.0
BMW i3,EV,,,,,,,,,,,,,0.0,0.0,0.0,6092.0,11024.0,7625.0,6276.0,6117.0,4854.0
Mercedes B-Class (B250e),EV,,,,,,,,,,,,,0.0,0.0,0.0,774.0,1906.0,632.0,744.0,135.0,9.0
BMW i8,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,555.0,2265.0,1594.0,488.0,772.0,1102.0
VW e-Golf,EV,,,,,,,,,,,,,0.0,0.0,0.0,357.0,4232.0,3937.0,3534.0,1354.0,4863.0
Kia Soul EV,EV,,,,,,,,,,,,,0.0,0.0,0.0,359.0,1015.0,1728.0,2157.0,1134.0,114.0
Porsche Cayenne S E-Hybrid,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,112.0,1163.0,2111.0,1574.0,1022.0,1140.0
Mercedes S550 Plug,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,118.0,550.0,666.0,96.0,371.0
Volvo-XC90 Plug In,PHEV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,86.0,2015.0,2358.0,1387.0,1710.0
