Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2022,IN,Total,"(2, 2, 0)",3,-57125.707790975954,[-60576.179 -53675.237],708.1147739722304,728.1147739722304,706.5525256219668,NA,,
2023,IN,Total,"(2, 2, 0)",4,-126655.58354944277,[-133874.676 -119436.491],708.1147739722304,728.1147739722304,706.5525256219668,NA,,
2020,IN,Total,"(2, 2, 1)",1,1579.5947679302863,[1337.534 1821.656],118.79920595337373,178.79920595337373,116.84639551554423,2139,-559.4052320697137,559.4052320697137
2021,IN,Total,"(2, 2, 1)",2,1858.9052825085535,[1477.464 2240.346],118.79920595337373,178.79920595337373,116.84639551554423,4917,-3058.0947174914463,3058.0947174914463
2022,IN,Total,"(2, 2, 1)",3,2971.146481310762,[2587.309 3354.984],118.79920595337373,178.79920595337373,116.84639551554423,NA,,
2023,IN,Total,"(2, 2, 1)",4,3209.8388248842894,[2827.999 3591.678],118.79920595337373,178.79920595337373,116.84639551554423,NA,,
2020,IN,Total,"(2, 2, 2)",1,3041.7175034853312,[2367.194 3716.241],86.1086146164092,,,2139,902.7175034853312,902.7175034853312
2021,IN,Total,"(2, 2, 2)",2,4393.2292223402565,[3639.577 5146.882],86.1086146164092,,,4917,-523.7707776597435,523.7707776597435
2022,IN,Total,"(2, 2, 2)",3,5373.495994369101,[4508.327 6238.665],86.1086146164092,,,NA,,
2023,IN,Total,"(2, 2, 2)",4,6616.571278526627,[5360.836 7872.306],86.1086146164092,,,NA,,
2020,IA,Total,"(0, 1, 0)",1,825.3333333333334,[ 414.668 1235.999],85.16549259347296,88.16549259347296,84.74901153192907,735,90.33333333333337,90.33333333333337
2021,IA,Total,"(0, 1, 0)",2,897.6666666666667,[ 316.898 1478.435],85.16549259347296,88.16549259347296,84.74901153192907,2181,-1283.3333333333333,1283.3333333333333
2022,IA,Total,"(0, 1, 0)",3,970.0000000000001,[ 258.707 1681.293],85.16549259347296,88.16549259347296,84.74901153192907,NA,,
2023,IA,Total,"(0, 1, 0)",4,1042.3333333333335,[ 221.003 1863.664],85.16549259347296,88.16549259347296,84.74901153192907,NA,,
2020,IA,Total,"(0, 1, 1)",1,347.8900046239705,[-148.922  844.702],90.49240788572678,98.49240788572678,89.86768629341094,735,-387.1099953760295,387.1099953760295
2021,IA,Total,"(0, 1, 1)",2,354.78635747635246,[-699.498 1409.07 ],90.49240788572678,98.49240788572678,89.86768629341094,2181,-1826.2136425236476,1826.2136425236476
2022,IA,Total,"(0, 1, 1)",3,361.6827103287344,[-1044.094  1767.459],90.49240788572678,98.49240788572678,89.86768629341094,NA,,
2023,IA,Total,"(0, 1, 1)",4,368.57906318111634,[-1316.918  2054.076],90.49240788572678,98.49240788572678,89.86768629341094,NA,,
2020,IA,Total,"(0, 1, 2)",1,574.4855759095799,[232.836 916.135],88.33106757594356,108.33106757594356,87.49810545285578,735,-160.5144240904201,160.5144240904201
2021,IA,Total,"(0, 1, 2)",2,811.0244963108618,[ 327.981 1294.068],88.33106757594356,108.33106757594356,87.49810545285578,2181,-1369.9755036891383,1369.9755036891383
2022,IA,Total,"(0, 1, 2)",3,886.818401137117,[ 403.762 1369.875],88.33106757594356,108.33106757594356,87.49810545285578,NA,,
2023,IA,Total,"(0, 1, 2)",4,962.6123059633723,[ 479.543 1445.682],88.33106757594356,108.33106757594356,87.49810545285578,NA,,
2020,IA,Total,"(0, 2, 0)",1,573.3999999999997,[ -75.54 1222.34],76.2135272927011,79.2135272927011,75.43240311756931,735,-161.60000000000025,161.60000000000025
2021,IA,Total,"(0, 2, 0)",2,378.1999999999997,[-1072.874  1829.274],76.2135272927011,79.2135272927011,75.43240311756931,2181,-1802.8000000000002,1802.8000000000002
2022,IA,Total,"(0, 2, 0)",3,167.39999999999966,[-2260.711  2595.511],76.2135272927011,79.2135272927011,75.43240311756931,NA,,
2023,IA,Total,"(0, 2, 0)",4,-59.00000000000037,[-3613.391  3495.391],76.2135272927011,79.2135272927011,75.43240311756931,NA,,
2020,IA,Total,"(0, 2, 1)",1,939.126614976558,[ 633.316 1244.938],78.27145810086006,86.27145810086006,77.09977183816235,735,204.12661497655802,204.12661497655802
2021,IA,Total,"(0, 2, 1)",2,1157.3489308749038,[ 695.168 1619.53 ],78.27145810086006,86.27145810086006,77.09977183816235,2181,-1023.6510691250962,1023.6510691250962
2022,IA,Total,"(0, 2, 1)",3,1407.6669476950383,[ 807.439 2007.895],78.27145810086006,86.27145810086006,77.09977183816235,NA,,
2023,IA,Total,"(0, 2, 1)",4,1690.0806654369608,[ 959.662 2420.499],78.27145810086006,86.27145810086006,77.09977183816235,NA,,
2020,IA,Total,"(0, 2, 2)",1,1225.834882473499,[ 884.096 1567.574],76.43011480291717,96.43011480291717,74.86786645265357,735,490.83488247349896,490.83488247349896
2021,IA,Total,"(0, 2, 2)",2,1583.322112215672,[1221.002 1945.642],76.43011480291717,96.43011480291717,74.86786645265357,2181,-597.677887784328,597.677887784328
2022,IA,Total,"(0, 2, 2)",3,1996.4984426624621,[1586.991 2406.006],76.43011480291717,96.43011480291717,74.86786645265357,NA,,
2023,IA,Total,"(0, 2, 2)",4,2465.363873813869,[1982.097 2948.631],76.43011480291717,96.43011480291717,74.86786645265357,NA,,
2020,IA,Total,"(1, 1, 0)",1,908.278200762928,[ 510.754 1305.802],86.82737771671708,94.82737771671708,86.20265612440124,735,173.278200762928,173.278200762928
2021,IA,Total,"(1, 1, 0)",2,977.3528847132833,[ 485.176 1469.53 ],86.82737771671708,94.82737771671708,86.20265612440124,2181,-1203.6471152867166,1203.6471152867166
2022,IA,Total,"(1, 1, 0)",3,1069.7020869148023,[ 483.093 1656.311],86.82737771671708,94.82737771671708,86.20265612440124,NA,,
2023,IA,Total,"(1, 1, 0)",4,1155.7672856341717,[ 491.653 1819.882],86.82737771671708,94.82737771671708,86.20265612440124,NA,,
2020,IA,Total,"(1, 1, 1)",1,1315.3389749022974,[1055.225 1575.453],174.99012128320993,194.99012128320993,174.15715916012215,735,580.3389749022974,580.3389749022974
2021,IA,Total,"(1, 1, 1)",2,1884.2952798485007,[1515.198 2253.393],174.99012128320993,194.99012128320993,174.15715916012215,2181,-296.70472015149926,296.70472015149926
2022,IA,Total,"(1, 1, 1)",3,2446.732754222382,[1995.173 2898.292],174.99012128320993,194.99012128320993,174.15715916012215,NA,,
2023,IA,Total,"(1, 1, 1)",4,3015.5920258692854,[2493.609 3537.575],174.99012128320993,194.99012128320993,174.15715916012215,NA,,
2020,IA,Total,"(1, 1, 2)",1,853.2462613524948,[ 522.188 1184.305],89.90963552660902,149.909635526609,88.8684328727493,735,118.2462613524948,118.2462613524948
2021,IA,Total,"(1, 1, 2)",2,957.0912706556016,[ 629.661 1284.522],89.90963552660902,149.909635526609,88.8684328727493,2181,-1223.9087293443984,1223.9087293443984
2022,IA,Total,"(1, 1, 2)",3,1060.814644383198,[ 736.128 1385.502],89.90963552660902,149.909635526609,88.8684328727493,NA,,
2023,IA,Total,"(1, 1, 2)",4,1164.434998063222,[ 841.692 1487.178],89.90963552660902,149.909635526609,88.8684328727493,NA,,
2020,IA,Total,"(1, 2, 0)",1,1333.4797497923896,[ 811.223 1855.736],77.98240420618112,85.98240420618112,76.81071794348341,735,598.4797497923896,598.4797497923896
2021,IA,Total,"(1, 2, 0)",2,1266.1074758272825,[ 527.486 2004.729],77.98240420618112,85.98240420618112,76.81071794348341,2181,-914.8925241727175,914.8925241727175
2022,IA,Total,"(1, 2, 0)",3,1943.0669911372227,[ 663.783 3222.351],77.98240420618112,85.98240420618112,76.81071794348341,NA,,
2023,IA,Total,"(1, 2, 0)",4,1972.3224274835184,[ 320.715 3623.93 ],77.98240420618112,85.98240420618112,76.81071794348341,NA,,
2020,IA,Total,"(1, 2, 1)",1,1099.9833552671566,[ 849.963 1350.004],82.6333049840162,102.6333049840162,81.0710566337526,735,364.98335526715664,364.98335526715664
2021,IA,Total,"(1, 2, 1)",2,1167.3681038688746,[ 883.838 1450.898],82.6333049840162,102.6333049840162,81.0710566337526,2181,-1013.6318961311254,1013.6318961311254
2022,IA,Total,"(1, 2, 1)",3,1430.6951752585428,[1059.556 1801.834],82.6333049840162,102.6333049840162,81.0710566337526,NA,,
2023,IA,Total,"(1, 2, 1)",4,1603.9231638966385,[1180.21  2027.637],82.6333049840162,102.6333049840162,81.0710566337526,NA,,
2020,IA,Total,"(1, 2, 2)",1,1585.3249620301053,[1329.495 1841.154],77.61332582793841,137.6133258279384,75.66051539010891,735,850.3249620301053,850.3249620301053
2021,IA,Total,"(1, 2, 2)",2,1704.6279466959459,[1445.596 1963.66 ],77.61332582793841,137.6133258279384,75.66051539010891,2181,-476.37205330405413,476.37205330405413
2022,IA,Total,"(1, 2, 2)",3,2479.3497065926417,[2136.135 2822.565],77.61332582793841,137.6133258279384,75.66051539010891,NA,,
2023,IA,Total,"(1, 2, 2)",4,2899.4943175857784,[2552.8   3246.189],77.61332582793841,137.6133258279384,75.66051539010891,NA,,
2020,IA,Total,"(2, 1, 0)",1,793.6270168447252,[ 406.272 1180.982],88.63795360077975,108.63795360077975,87.80499147769197,735,58.627016844725176,58.627016844725176
2021,IA,Total,"(2, 1, 0)",2,965.3912698748256,[ 482.932 1447.851],88.63795360077975,108.63795360077975,87.80499147769197,2181,-1215.6087301251744,1215.6087301251744
2022,IA,Total,"(2, 1, 0)",3,1045.3408798571256,[ 521.754 1568.928],88.63795360077975,108.63795360077975,87.80499147769197,NA,,
2023,IA,Total,"(2, 1, 0)",4,1111.7301392666693,[ 530.052 1693.408],88.63795360077975,108.63795360077975,87.80499147769197,NA,,
2020,IA,Total,"(2, 1, 1)",1,236.82266657343666,[-35.067 508.713],102.40093793548692,162.40093793548692,101.3597352816272,735,-498.17733342656334,498.17733342656334
2021,IA,Total,"(2, 1, 1)",2,-85.01078452028287,[-490.242  320.221],102.40093793548692,162.40093793548692,101.3597352816272,2181,-2266.010784520283,2266.010784520283
2022,IA,Total,"(2, 1, 1)",3,130.06843663504495,[-270.361  530.498],102.40093793548692,162.40093793548692,101.3597352816272,NA,,
2023,IA,Total,"(2, 1, 1)",4,661.6966810716369,[ 222.46  1100.934],102.40093793548692,162.40093793548692,101.3597352816272,NA,,
2020,IA,Total,"(2, 1, 2)",1,841.7947051149235,[ 500.189 1183.4  ],91.6652306139242,,,735,106.79470511492354,106.79470511492354
2021,IA,Total,"(2, 1, 2)",2,935.2239059053592,[ 571.237 1299.211],91.6652306139242,,,2181,-1245.776094094641,1245.776094094641
2022,IA,Total,"(2, 1, 2)",3,1029.7819972665804,[ 661.556 1398.008],91.6652306139242,,,NA,,
2023,IA,Total,"(2, 1, 2)",4,1124.7726793636812,[ 755.508 1494.037],91.6652306139242,,,NA,,
2020,IA,Total,"(2, 2, 0)",1,2870.484662542198,[2584.097 3156.872],220.82046974714086,240.82046974714086,219.25822139687727,735,2135.484662542198,2135.484662542198
2021,IA,Total,"(2, 2, 0)",2,2430.653954993447,[2144.226 2717.082],220.82046974714086,240.82046974714086,219.25822139687727,2181,249.65395499344686,249.65395499344686
2022,IA,Total,"(2, 2, 0)",3,6124.266375726532,[5490.297 6758.236],220.82046974714086,240.82046974714086,219.25822139687727,NA,,
2023,IA,Total,"(2, 2, 0)",4,5481.521865311803,[4847.264 6115.78 ],220.82046974714086,240.82046974714086,219.25822139687727,NA,,
2020,IA,Total,"(2, 2, 1)",1,519.8877632016512,[311.244 728.531],97.51049781492078,157.51049781492077,95.55768737709128,735,-215.11223679834882,215.11223679834882
2021,IA,Total,"(2, 2, 1)",2,955.8373590007093,[ 667.816 1243.858],97.51049781492078,157.51049781492077,95.55768737709128,2181,-1225.1626409992907,1225.1626409992907
2022,IA,Total,"(2, 2, 1)",3,1314.7696520864984,[1033.866 1595.673],97.51049781492078,157.51049781492077,95.55768737709128,NA,,
2023,IA,Total,"(2, 2, 1)",4,1028.4963839266854,[ 729.437 1327.555],97.51049781492078,157.51049781492077,95.55768737709128,NA,,
2020,IA,Total,"(2, 2, 2)",1,1773.9179763276989,[1583.243 1964.593],79.06255658410777,,,735,1038.9179763276989,1038.9179763276989
2021,IA,Total,"(2, 2, 2)",2,1729.548947220316,[1489.299 1969.799],79.06255658410777,,,2181,-451.451052779684,451.451052779684
2022,IA,Total,"(2, 2, 2)",3,2711.255048080232,[2360.949 3061.561],79.06255658410777,,,NA,,
2023,IA,Total,"(2, 2, 2)",4,3137.295300667798,[2784.911 3489.68 ],79.06255658410777,,,NA,,
2020,KY,Total,"(0, 1, 0)",1,907.5,[ 608.773 1206.227],81.34652592436991,84.34652592436991,80.93004486282602,929,-21.5,21.5
2021,KY,Total,"(0, 1, 0)",2,1011.0,[ 588.536 1433.464],81.34652592436991,84.34652592436991,80.93004486282602,2125,-1114.0,1114.0
2022,KY,Total,"(0, 1, 0)",3,1114.5,[ 597.089 1631.911],81.34652592436991,84.34652592436991,80.93004486282602,NA,,
