Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2020,MI,Total,"(0, 2, 2)",3,7058.87049132539,[7058.87041799 7058.87056466],-42.718780436402724,-79.3854471030694,-51.73265754972162,3817,3241.8704913253896,3241.8704913253896
2021,MI,Total,"(0, 2, 2)",4,9553.663505927427,[9553.66339858 9553.66361328],-42.718780436402724,-79.3854471030694,-51.73265754972162,10477,-923.3364940725733,923.3364940725733
2018,MI,Total,"(1, 1, 0)",1,2659.59394689076,[2659.59392729 2659.59396649],-46.45116183039994,-82.45116183039994,-51.974512580320926,3571,-911.40605310924,911.40605310924
2019,MI,Total,"(1, 1, 0)",2,2618.525483745034,[2618.52545992 2618.52550757],-46.45116183039994,-82.45116183039994,-51.974512580320926,1830,788.5254837450339,788.5254837450339
2020,MI,Total,"(1, 1, 0)",3,2598.451511463267,[2598.45148308 2598.45153984],-46.45116183039994,-82.45116183039994,-51.974512580320926,3817,-1218.5484885367332,1218.5484885367332
2021,MI,Total,"(1, 1, 0)",4,2591.6158236800984,[2591.61579165 2591.61585571],-46.45116183039994,-82.45116183039994,-51.974512580320926,10477,-7885.384176319902,7885.384176319902
2018,MI,Total,"(1, 1, 1)",1,2659.59394689076,[2659.59392729 2659.59396649],-43.56392159059334,-80.23058825726001,-49.70097797939443,3571,-911.40605310924,911.40605310924
2019,MI,Total,"(1, 1, 1)",2,2618.525483745034,[2618.52545603 2618.52551146],-43.56392159059334,-80.23058825726001,-49.70097797939443,1830,788.5254837450339,788.5254837450339
2020,MI,Total,"(1, 1, 1)",3,2598.451511463267,[2598.45147752 2598.45154541],-43.56392159059334,-80.23058825726001,-49.70097797939443,3817,-1218.5484885367332,1218.5484885367332
2021,MI,Total,"(1, 1, 1)",4,2591.6158236800984,[2591.61578448 2591.61586288],-43.56392159059334,-80.23058825726001,-49.70097797939443,10477,-7885.384176319902,7885.384176319902
2018,MI,Total,"(1, 1, 2)",1,2659.59394689076,[2659.59392729 2659.59396649],-41.56392159059334,-79.27820730487906,-48.31468361827454,3571,-911.40605310924,911.40605310924
2019,MI,Total,"(1, 1, 2)",2,2618.525483745034,[2618.52545603 2618.52551146],-41.56392159059334,-79.27820730487906,-48.31468361827454,1830,788.5254837450339,788.5254837450339
2020,MI,Total,"(1, 1, 2)",3,2598.451511463267,[2598.45147752 2598.45154541],-41.56392159059334,-79.27820730487906,-48.31468361827454,3817,-1218.5484885367332,1218.5484885367332
